state,result
,
Alabama,blue
Alaska,red
Arizona,blue
Arkansas,red
California,red
Colorado,blue
Connecticut,red
Delaware,blue
District of Columbia,blue
Florida,red
Georgia,blue
Hawaii,blue
Idaho,red
Illinois,blue
Indiana,red
Iowa,red
Kansas,red
Kentucky,blue
Louisiana,blue
Maine,blue
Maryland,red
Massachusetts,blue
Michigan,blue
Minnesota,blue
Mississippi,red
Missouri,red
Montana,red
Nebraska,red
Nevada,blue
New Hampshire,blue
New Jersey,blue
New Mexico,blue
New York,blue
North Carolina,red
North Dakota,red
Ohio,red
Oklahoma,blue
Oregon,red
Pennsylvania,blue
Rhode Island,blue
South Carolina,red
South Dakota,red
Tennessee,red
Texas,red
Utah,red
Vermont,blue
Virginia,blue
Washington,blue
West Virginia,red
Wisconsin,blue
Wyoming,blue
